Specimen Number,Species ID,Group,Family,Scientific Name,Common Name,Country,State,County,Locality,Latitude,Longitude,Source,Accuracy,Drainage Name,HUC 8 Number,Year,Month,Day,Status,Comments,record_type,disposal,Museum_Cat_No,fresh_marine_intro,Reference 1,Type 1,Date 1,Author 1,Title 1,Publisher 1,Location 1,Reference 2,Type 2,Date 2,Author 2,Title 2,Publisher 2,Location 2,Reference 3,Type 3,Date 3,Author 3,Title 3,Publisher 3,Location 3,Reference 4,Type 4,Date 4,Author 4,Title 4,Publisher 4,Location 4,Reference 5,Type 5,Date 5,Author 5,Title 5,Publisher 5,Location 5,Reference 6,Type 6,Date 6,Author 6,Title 6,Publisher 6,Location 6
935389,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Palm Beach,"Wetland, Rotenberger Wildlife Management Area 4.98 km W of L-23",26.33444,-80.83174,reported,Accurate,Everglades,3090202,2013,7,10,established,1 egg mass,Literature,,,Freshwater,28234,Database,2015,Florida Fish and Wildlife Conservation Commission,"Applesnail occurrences in Florida (<em>Pomacea sp.</em>), 1962-2015.",Florida Fish and Wildlife Conservation Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935390,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Palm Beach,"Wetlands, Rotenberger Wildlife Management Area 3.43 m N of L-4",26.36159,-80.8803,reported,Accurate,Everglades,3090202,2013,7,10,established,1 egg mass,Literature,,,Freshwater,28234,Database,2015,Florida Fish and Wildlife Conservation Commission,"Applesnail occurrences in Florida (<em>Pomacea sp.</em>), 1962-2015.",Florida Fish and Wildlife Conservation Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935401,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Palm Beach,"Wetlands, Rotenberger Wildlife Management Area 3.34 km N of L-4",26.36079,-80.87699,reported,Accurate,Everglades,3090202,2013,8,7,established,1 egg mass,Literature,,,Freshwater,28234,Database,2015,Florida Fish and Wildlife Conservation Commission,"Applesnail occurrences in Florida (<em>Pomacea sp.</em>), 1962-2015.",Florida Fish and Wildlife Conservation Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935349,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Palm Beach,"Wellington, canal appx 160 m N of Forest Hills Blvd and Wellington Trce",26.65685,-80.23681,reported,Accurate,Florida Southeast Coast,3090206,2012,4,13,established,Numerous,Literature,,,Freshwater,28234,Database,2015,Florida Fish and Wildlife Conservation Commission,"Applesnail occurrences in Florida (<em>Pomacea sp.</em>), 1962-2015.",Florida Fish and Wildlife Conservation Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935350,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Palm Beach,"Wellington, canal W of Forrest Hills Blvd appx 700 m W of C-51 Canal",26.67499,-80.25085,reported,Accurate,Florida Southeast Coast,3090206,2012,4,13,established,Numerous,Literature,,,Freshwater,28234,Database,2015,Florida Fish and Wildlife Conservation Commission,"Applesnail occurrences in Florida (<em>Pomacea sp.</em>), 1962-2015.",Florida Fish and Wildlife Conservation Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1419039,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Palm Beach,"Lago Circle, Boca Raton, FL",26.35794,-80.17755,reported,Accurate,Florida Southeast Coast,3090206,2017,8,1,unknown,,NAS sighting report,,,Freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935348,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Pasco,"Withlacoochee River, vicinity of SR-471 bridge",28.31299,-82.05579,reported,Accurate,Withlacoochee,3100208,2012,4,13,established,4 egg masses,Literature,,,Freshwater,28234,Database,2015,Florida Fish and Wildlife Conservation Commission,"Applesnail occurrences in Florida (<em>Pomacea sp.</em>), 1962-2015.",Florida Fish and Wildlife Conservation Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242705,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Pasco,a waterbody in Zephyhills at the Crystal Lake Retirement Community,28.219861,-82.242601,Map derived,Accurate,Hillsborough,3100205,2007,,,established,,Literature,,,Freshwater,16154,Journal Article,2007,"Rawlings, T.A., K.A. Hayes, R.H. Cowie, and T.M. Collins","The identity, distribution, and impacts on non-native apple snails in the continental United States.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242722,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Pasco,Hillsborough River near Crystal Springs [just S of Zephyrhills],28.1842,-82.184,reported,Accurate,Hillsborough,3100205,2007,,,established,,Literature,,,Freshwater,16154,Journal Article,2007,"Rawlings, T.A., K.A. Hayes, R.H. Cowie, and T.M. Collins","The identity, distribution, and impacts on non-native apple snails in the continental United States.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162667,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Pasco,"[unnamed waterbody] Dade City, off I-75, old Route 60, on Fort King Road",28.337135,-82.203269,Map derived,Approximate,Withlacoochee,3100208,2004,11,30,established,"The actual date when the specimens were collected is unknown, date used is when the record was entered in the database.",Specimen,preserved dry,UF 332161,Freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166625,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Pasco,Gator Creek at Hwy 471 (~8.5 ENE of Zephyrhills),28.3122,-82.0561,Map derived,Accurate,Withlacoochee,3100208,2006,5,26,established,See voucher photos.,Personal communication,,,Freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282900,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Pasco,"Withlacoochee River, vicinity of SR-471 bridge",28.31299,-82.05579,reported,Accurate,Withlacoochee,3100208,2012,4,13,established,"Four egg masses observed, but no shells.",Personal communication,,,Freshwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935002,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Pasco,"Lake Ann, unspecified location",28.17792,-82.58178,reported,Accurate,Crystal-Pithlachascotee,3100207,2005,8,15,established,Not reported,Literature,,,Freshwater,28234,Database,2015,Florida Fish and Wildlife Conservation Commission,"Applesnail occurrences in Florida (<em>Pomacea sp.</em>), 1962-2015.",Florida Fish and Wildlife Conservation Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935003,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Pasco,"Lake Ann, unspecified location",28.17792,-82.58178,reported,Accurate,Crystal-Pithlachascotee,3100207,2005,8,15,established,Not reported,Literature,,,Freshwater,28234,Database,2015,Florida Fish and Wildlife Conservation Commission,"Applesnail occurrences in Florida (<em>Pomacea sp.</em>), 1962-2015.",Florida Fish and Wildlife Conservation Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
934997,2633,Mollusks-Gastropods,Ampullariidae,Pomacea maculata,giant applesnail,United States of America,FL,Pasco,"Sixmile Pond, unspecified location",28.22506,-82.24129,reported,Accurate,Hillsborough,3100205,2005,8,15,established,Not reported,Literature,,,Freshwater,28234,Database,2015,Florida Fish and Wildlife Conservation Commission,"Applesnail occurrences in Florida (<em>Pomacea sp.</em>), 1962-2015.",Florida Fish and Wildlife Conservation Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
